Frame,X,Y,Z,Rotation_1,Rotation_2,Rotation_3
111,10.25650221509719,9.536728555064595,-8.898605375990158,[-0.94123517 -0.30647225  0.14195462],[ 0.11968572 -0.69566617 -0.70832472],[ 0.3158349  -0.6497102   0.69146582]
112,10.256884823715659,9.544762131492899,-8.887664925919928,[-0.94146317 -0.30586297  0.14175661],[ 0.11920049 -0.69536429 -0.70870287],[ 0.31533845 -0.65032019  0.69111888]
113,10.254446386238827,9.543576086032807,-8.889586692064858,[-0.94147622 -0.30585122  0.14169529],[ 0.11921429 -0.69531692 -0.70874702],[ 0.31529428 -0.65037636  0.69108618]
114,10.258499674298227,9.541667819455942,-8.890649072738984,[-0.94136777 -0.3060788   0.14192426],[ 0.11934218 -0.69556043 -0.7084865 ],[ 0.3155696  -0.65000881  0.69130628]
115,10.254596191314977,9.547744675553194,-8.883662648406586,[-0.94166265 -0.30536631  0.14150219],[ 0.11887953 -0.69512614 -0.70899034],[ 0.31486364 -0.65080801  0.69087613]
116,10.242571067174072,9.548631831109876,-8.892739438770702,[-0.94148144 -0.30547851  0.14246256],[ 0.11814291 -0.69491356 -0.70932179],[ 0.31568173 -0.65098236  0.69033834]
117,10.225835265238024,9.56639128229427,-8.875866592280323,[-0.94235233 -0.30343501  0.14106478],[ 0.11687529 -0.69347815 -0.71093475],[ 0.31354783 -0.65346404  0.68896481]
118,10.243544739135654,9.563873639137292,-8.867434597136729,[-0.9425748  -0.30324818  0.13997601],[ 0.11769762 -0.69379106 -0.71049366],[ 0.31257001 -0.65321858  0.68964156]
119,10.245429608613897,9.563590152969276,-8.86686782056814,[-0.94252777 -0.30333865  0.14009666],[ 0.11771906 -0.69387543 -0.7104077 ],[ 0.31270375 -0.65308694  0.6897056 ]
120,10.226823940111924,9.556228724498403,-8.885053939797235,[-0.94253562 -0.30354833  0.13958873],[ 0.11805425 -0.69342694 -0.71078989],[ 0.31255367 -0.65346575  0.68941476]
121,10.230276379405097,9.55544057396336,-8.883075450318382,[-0.94246489 -0.3036893   0.13975959],[ 0.11810288 -0.6935634  -0.71064866],[ 0.31274853 -0.6532554   0.68952573]
122,10.232148994138663,9.557450911182158,-8.88009786330049,[-0.94251017 -0.30356408  0.13972625],[ 0.11803314 -0.69357337 -0.71065051],[ 0.31263838 -0.65330301  0.68953058]
123,10.23164379515466,9.55511546120518,-8.883610254461274,[-0.94255992 -0.30352631  0.13947248],[ 0.11813409 -0.69344722 -0.71075684],[ 0.3124502  -0.65345446  0.68947236]
124,10.218767428415317,9.483184616061806,-8.933917532363226,[-0.94076423 -0.30820253  0.14132894],[ 0.12135559 -0.69528033 -0.70841943],[ 0.31659989 -0.6493046   0.69149696]
125,10.233255729385252,9.552981516089364,-8.884939288813953,[-0.94244723 -0.3037502   0.13974634],[ 0.11818268 -0.69360797 -0.7105919 ],[ 0.31277161 -0.65317977  0.68958692]
126,10.237542365137953,9.560650340368309,-8.873181960420032,[-0.94270907 -0.30307089  0.13945483],[ 0.11775456 -0.69338319 -0.71088228],[ 0.31214336 -0.65373373  0.6893466 ]
127,10.234713705260575,9.551229315595437,-8.885141696273786,[-0.94257555 -0.30348919  0.13944764],[ 0.11819745 -0.69360234 -0.71059493],[ 0.31237909 -0.65330705  0.68964425]
128,10.235524836326903,9.552585882527719,-8.883565991696212,[-0.94257701 -0.30346699  0.13948611],[ 0.11816515 -0.6936324  -0.71057096],[ 0.31238691 -0.65328545  0.68966117]
129,10.234230385553508,9.56017802199468,-8.874771396372992,[-0.94284966 -0.30277899  0.13913807],[ 0.11768603 -0.69322522 -0.71104767],[ 0.31174431 -0.65403644  0.68924002]
130,10.232376991727115,9.560965177777867,-8.87565370617755,[-0.94291243 -0.30263173  0.13903306],[ 0.1176048  -0.69313412 -0.71114991],[ 0.31158509 -0.65420113  0.68915572]
131,10.231351421546238,9.559823526002976,-8.876570150286446,[-0.94290554 -0.30265656  0.13902571],[ 0.11762154 -0.69311623 -0.71116459],[ 0.3115996  -0.65420861  0.68914206]
132,10.23293625261384,9.56292848531411,-8.87373752441917,[-0.94287986 -0.30268533  0.13913719],[ 0.11755875 -0.69311294 -0.71117818],[ 0.31170099 -0.65419879  0.68910554]
133,10.255578458636284,9.556266087365412,-8.880198287046078,[-0.94225091 -0.30405159  0.14041315],[ 0.11832938 -0.6944609  -0.70973391],[ 0.31330717 -0.65213242  0.69033465]
134,10.255573213308882,9.560508266856246,-8.87561395955257,[-0.94227637 -0.30393045  0.14050454],[ 0.11810962 -0.69434776 -0.70988119],[ 0.31331352 -0.65230933  0.6901646 ]
135,10.256818129012927,9.559847777495271,-8.875943389771567,[-0.94221803 -0.30407327  0.14058673],[ 0.11819964 -0.69442705 -0.70978864],[ 0.31345498 -0.65215835  0.69024304]
136,10.234817922229968,9.569870011780752,-8.86895927537119,[-0.94306145 -0.30216863  0.13902958],[ 0.1171673  -0.69298216 -0.71137019],[ 0.31129877 -0.65457608  0.68892904]
137,10.229004475228654,9.562000562106567,-8.875905962583378,[-0.94295214 -0.30252093  0.13900485],[ 0.11746097 -0.69297221 -0.71133145],[ 0.31151915 -0.65442387  0.68897403]
138,10.224107269654036,9.558576238062365,-8.881328409559575,[-0.94294029 -0.3026002   0.13891268],[ 0.11756667 -0.69291594 -0.71136881],[ 0.31151516 -0.65444681  0.68895405]
139,10.228075884144674,9.549786607292216,-8.889538904606242,[-0.94260414 -0.30343388  0.1393747 ],[ 0.11812817 -0.69343443 -0.71077031],[ 0.31231901 -0.65351096  0.68947825]
140,10.22365844583219,9.556134492858241,-8.88331501258881,[-0.94286216 -0.30279369  0.13902132],[ 0.11768763 -0.69301927 -0.71124814],[ 0.3117059  -0.65424787  0.68905671]
141,10.21114092888314,9.560355159100476,-8.888277749882963,[-0.94274737 -0.30272956  0.13993645],[ 0.11677726 -0.69266521 -0.71174292],[ 0.31239473 -0.65465237  0.68836023]
142,10.214851004918092,9.562162351147254,-8.884266928136146,[-0.94272389 -0.30273726  0.14007792],[ 0.11672316 -0.69276282 -0.71165678],[ 0.3124858  -0.65454551  0.68842051]
143,10.21044790573581,9.563049539661783,-8.886140346751626,[-0.94275028 -0.30273258  0.13991035],[ 0.11676088 -0.69258456 -0.71182408],[ 0.31239208 -0.65473629  0.68828161]
144,10.21360011056571,9.555099996493553,-8.894307186492458,[-0.94244458 -0.30351656  0.14027085],[ 0.11733576 -0.69305372 -0.7112727 ],[ 0.31309828 -0.65387632  0.68877807]
145,10.284287634234586,9.53016073458784,-8.859897793341547,[-0.94045075 -0.30770376  0.14446721],[ 0.11955777 -0.69724855 -0.7067888 ],[ 0.31821112 -0.64742788  0.6925163 ]
