Frame,X,Y,Z,Rotation_1,Rotation_2,Rotation_3
137,10.130410513859248,1.4131822080131418,-9.289719925156513,[-9.99995719e-01  9.43229874e-05 -2.92469093e-03],[-8.57936103e-05 -9.99995744e-01 -2.91632282e-03],[-0.00292495 -0.00291606  0.99999147]
138,9.421127939084995,2.481005157491212,-9.205399065535465,[ 0.99247572  0.02617447 -0.11961123],[-0.01117665  0.99217194  0.12437814],[ 0.12193044 -0.12210543  0.9849991 ]
139,9.407897018540895,0.985928811738475,-9.38742854616036,[-0.99911846 -0.0021667  -0.0419239 ],[ 0.00389812 -0.99914077 -0.04126161],[-0.04179847 -0.04138866  0.99826843]
140,10.238979864182333,1.3830719218772394,-9.172261939833215,[-9.99056973e-01 -5.95378900e-04  4.34143909e-02],[ 0.00244985 -0.99908601  0.04267483],[0.0433493  0.04274095 0.9981453 ]
141,10.111033770522404,1.2185788112460845,-9.206363207533004,[ 9.99796669e-01 -3.36942513e-04 -2.01620047e-02],[7.48683545e-04 9.99791259e-01 2.04175696e-02],[ 0.02015092 -0.02042851  0.99958822]
142,9.655831050597607,1.0510843153995801,-9.251365765553013,[-9.99956820e-01  4.53568734e-04  9.28187805e-03],[-3.68637970e-04 -9.99958071e-01  9.14983628e-03],[0.00928564 0.00914602 0.99991506]
143,9.850152054868289,1.4853671504613666,-9.106392163139098,[ 9.99707011e-01  6.24535790e-04 -2.41971328e-02],[-2.86706408e-05  9.99696931e-01  2.46179693e-02],[ 0.02420517 -0.02461006  0.99940405]
144,9.22648969901486,1.2111926681926826,-9.350271170391466,[-0.99516924 -0.00188088 -0.09815619],[ 0.01145219 -0.99521468 -0.09703907],[-0.09750396 -0.0976944   0.99042859]
145,10.113429932229595,1.3040319225351114,-9.090204668876405,[-9.99520361e-01 -1.27449783e-04  3.09682314e-02],[ 0.00108905 -0.99951767  0.03103614],[0.03094934 0.03105498 0.9990384 ]
146,9.92677979026591,1.458578109234537,-8.988739066030794,[-0.99949398  0.0010593  -0.03179095],[-4.71823442e-05 -9.99493596e-01 -3.18205882e-02],[-0.03180855 -0.03180299  0.99898788]
147,9.786192534851562,1.3060202079973424,-9.014048992498674,[ 9.99742003e-01 -5.79440972e-05  2.27139490e-02],[ 5.72362793e-04  9.99743477e-01 -2.26418529e-02],[-0.02270681  0.02264901  0.99948558]
148,10.017616099618152,1.1837595343931324,-9.069518111134714,[9.99951814e-01 2.01283706e-04 9.81475422e-03],[-1.04986145e-04  9.99951865e-01 -9.81103850e-03],[-0.00981626  0.00980954  0.9999037 ]
149,8.518624326819051,0.4685420445797597,-9.154608306617279,[-0.99192008 -0.0175116  -0.12564993],[ 0.03315486 -0.99178918 -0.12351106],[-0.12245536 -0.12667901  0.98435619]
